Name	Description
ENSG00000127837.5	AAMP
ENSG00000127838.9	PNKD
ENSG00000135926.8	TMBIM1
ENSG00000018280.12	SLC11A1
ENSG00000144579.3	CTDSP1
ENSG00000074582.8	BCS1L
ENSG00000163481.3	RNF25
ENSG00000135929.4	CYP27A1
ENSG00000115649.11	CNPPD1
ENSG00000144567.6	FAM134A
ENSG00000158552.8	ZFAND2B
ENSG00000115657.8	ABCB6
ENSG00000198925.6	ATG9A
ENSG00000163516.9	ANKZF1
ENSG00000127824.9	TUBA4A
ENSG00000135924.11	DNAJB2
ENSG00000123992.14	DNPEP
ENSG00000175084.7	DES
ENSG00000072195.10	SPEG
ENSG00000144591.13	GMPPA
ENSG00000123989.9	CHPF
ENSG00000124006.10	OBSL1
ENSG00000171951.4	SCG2
ENSG00000135900.3	MRPL44
ENSG00000135919.8	SERPINE2
ENSG00000168958.15	MFF
ENSG00000153823.14	PID1
ENSG00000153827.9	TRIP12
ENSG00000135932.6	CAB39
ENSG00000135916.11	ITM2C
ENSG00000173692.8	PSMD1
ENSG00000115053.11	NCL
ENSG00000187514.10	PTMA
ENSG00000144524.13	COPS7B
ENSG00000115468.7	EFHD1
ENSG00000144476.5	ACKR3
ENSG00000198612.6	COPS8
ENSG00000163359.11	COL6A3
ENSG00000124831.14	LRRFIP1
ENSG00000132329.6	RAMP1
ENSG00000184182.14	UBE2F
ENSG00000132323.4	ILKAP
ENSG00000130414.7	NDUFA10
ENSG00000172428.6	MYEOV2
ENSG00000063660.4	GPC1
ENSG00000142327.7	RNPEPL1
ENSG00000130294.10	KIF1A
ENSG00000115685.10	PPP1R7
ENSG00000115677.12	HDLBP
ENSG00000168385.13	SEPT2
ENSG00000115694.10	STK25
ENSG00000176720.3	BOK
ENSG00000176946.7	THAP4
ENSG00000168397.12	ATG4B
ENSG00000180902.12	D2HGDH
ENSG00000113851.9	CRBN
ENSG00000134107.4	BHLHE40
ENSG00000134108.8	ARL8B
ENSG00000071282.7	LMCD1
ENSG00000168137.11	SETD5
ENSG00000134072.6	CAMK1
ENSG00000171148.9	TADA3
ENSG00000241553.8	ARPC4
ENSG00000214021.11	TTLL3
ENSG00000187288.6	CIDEC
ENSG00000171135.10	JAGN1
ENSG00000163702.14	IL17RC
ENSG00000163703.13	CRELD1
ENSG00000125037.8	EMC3
ENSG00000254999.2	BRK1
ENSG00000157020.13	SEC13
ENSG00000157150.4	TIMP4
ENSG00000075975.11	MKRN2
ENSG00000132155.7	RAF1
ENSG00000144713.8	RPL32
ENSG00000144711.9	IQSEC1
ENSG00000163520.9	FBLN2
ENSG00000170876.7	TMEM43
ENSG00000154767.10	XPC
ENSG00000225733.1	FGD5-AS1
ENSG00000131368.3	MRPS25
ENSG00000131386.13	GALNT15
ENSG00000131378.9	RFTN1
ENSG00000144566.6	RAB5A
ENSG00000170142.7	UBE2E1
ENSG00000174748.14	RPL15
ENSG00000077097.9	TOP2B
ENSG00000163513.13	TGFBR2
ENSG00000163527.5	STT3B
ENSG00000152642.6	GPD1L
ENSG00000091317.7	CMTM6
ENSG00000144635.4	DYNC1LI1
ENSG00000170275.10	CRTAP
ENSG00000153560.7	UBP1
ENSG00000170248.9	PDCD6IP
ENSG00000144674.12	GOLGA4
ENSG00000060971.13	ACAA1
ENSG00000172936.8	MYD88
ENSG00000114745.9	GORASP1
ENSG00000144655.10	CSRNP1
ENSG00000144659.6	SLC25A38
ENSG00000168028.9	RPSA
ENSG00000168314.13	MOBP
ENSG00000114784.3	EIF1B
ENSG00000188846.9	RPL14
ENSG00000168036.12	CTNNB1
ENSG00000114857.13	NKTR
ENSG00000114853.9	ZBTB47
ENSG00000010282.10	HHATL
ENSG00000181061.9	HIGD1A
ENSG00000169964.5	TMEM42
ENSG00000163815.5	CLEC3B
ENSG00000012223.8	LTF
ENSG00000178038.12	ALS2CL
ENSG00000160808.5	MYL3
ENSG00000160799.7	CCDC12
ENSG00000160796.12	NBEAL2
ENSG00000076201.10	PTPN23
ENSG00000114650.14	SCAP
ENSG00000132153.10	DHX30
ENSG00000047849.17	MAP4
ENSG00000164050.8	PLXNB1
ENSG00000232112.3	TMA7
ENSG00000164054.11	SHISA5
ENSG00000010256.6	UQCRC1
ENSG00000068745.10	IP6K2
ENSG00000177479.15	ARIH2
ENSG00000178252.13	WDR6
ENSG00000178149.12	DALRD3
ENSG00000178057.10	NDUFAF3
ENSG00000178035.7	IMPDH2
ENSG00000198218.6	QRICH1
ENSG00000172053.10	QARS
ENSG00000172046.14	USP19
ENSG00000172037.9	LAMB2
ENSG00000185909.10	KLHDC8B
ENSG00000233276.2	GPX1
ENSG00000067560.6	RHOA
ENSG00000145022.4	TCTA
ENSG00000145020.10	AMT
ENSG00000173402.7	DAG1
ENSG00000164062.8	APEH
ENSG00000176095.7	IP6K1
ENSG00000182179.6	UBA7
ENSG00000004534.10	RBM6
ENSG00000003756.12	RBM5
ENSG00000001617.7	SEMA3F
ENSG00000114353.12	GNAI2
ENSG00000012171.13	SEMA3B
ENSG00000214706.6	IFRD2
ENSG00000068001.9	HYAL2
ENSG00000114383.5	TUSC2
ENSG00000068028.13	RASSF1
ENSG00000114388.8	NPRL2
ENSG00000126062.3	TMEM115
ENSG00000114738.6	MAPKAPK3
ENSG00000145050.11	MANF
ENSG00000090097.16	PCBP4
ENSG00000114779.15	ABHD14B
ENSG00000248487.4	ABHD14A
ENSG00000162244.6	RPL29
ENSG00000023330.10	ALAS1
ENSG00000247596.4	TWF2
ENSG00000164088.13	PPM1M
ENSG00000164091.7	WDR82
ENSG00000163930.5	BAP1
ENSG00000010318.15	PHF7
ENSG00000114854.3	TNNC1
ENSG00000010322.11	NISCH
ENSG00000010327.6	STAB1
ENSG00000168268.6	NT5DC2
ENSG00000163938.12	GNL3
ENSG00000016864.12	GLT8D1
ENSG00000114902.9	SPCS1
ENSG00000055955.11	ITIH4
ENSG00000272573.1	MUSTN1
ENSG00000163932.9	PRKCD
ENSG00000163931.11	TKT
ENSG00000113811.6	SELK
ENSG00000168374.6	ARF4
ENSG00000136068.10	FLNB
ENSG00000168291.8	PDHB
ENSG00000168309.12	FAM107A
ENSG00000163634.7	THOC7
ENSG00000163636.6	PSMD6
ENSG00000144749.9	LRIG1
ENSG00000172340.10	SUCLG2
ENSG00000144744.12	UBA3
ENSG00000144746.6	ARL6IP5
ENSG00000114480.8	GBE1
ENSG00000083937.4	CHMP2B
ENSG00000163320.6	CGGBP1
ENSG00000184500.10	PROS1
ENSG00000080822.12	CLDND1
ENSG00000144810.11	COL8A1
ENSG00000168386.14	FILIP1L
ENSG00000154174.7	TOMM70A
ENSG00000181458.6	TMEM45A
ENSG00000114354.8	TFG
ENSG00000081154.7	PCNP
ENSG00000114391.8	RPL24
ENSG00000144802.7	NFKBIZ
ENSG00000170017.8	ALCAM
ENSG00000196776.10	CD47
ENSG00000144834.8	TAGLN3
ENSG00000144848.6	ATG3
ENSG00000091986.11	CCDC80
ENSG00000121579.8	NAA50
ENSG00000114573.5	ATP6V1A
ENSG00000259976.1	RP11-553L6.5
ENSG00000172020.8	GAP43
ENSG00000113845.5	TIMMDC1
ENSG00000121577.9	POPDC2
ENSG00000138495.2	COX17
ENSG00000163430.5	FSTL1
ENSG00000065518.7	NDUFB4
ENSG00000180353.6	HCLS1
ENSG00000173230.11	GOLGB1
ENSG00000121552.3	CSTA
ENSG00000114023.11	FAM162A
ENSG00000173175.10	ADCY5
ENSG00000065534.14	MYLK
ENSG00000082781.7	ITGB5
ENSG00000114544.11	SLC41A3
ENSG00000163884.3	KLF15
ENSG00000114626.13	ABTB1
ENSG00000074416.9	MGLL
ENSG00000058262.5	SEC61A1
ENSG00000163902.7	RPN1
ENSG00000075785.8	RAB7A
ENSG00000177646.13	ACAD9
ENSG00000169714.12	CNBP
ENSG00000181789.10	COPG1
ENSG00000183624.9	HMCES
ENSG00000184897.4	H1FX
ENSG00000129071.5	MBD4
ENSG00000004399.8	PLXND1
ENSG00000017260.15	ATP2C1
ENSG00000198585.7	NUDT16
ENSG00000114686.4	MRPL3
ENSG00000014257.11	ACPP
ENSG00000091527.11	CDV3
ENSG00000091513.10	TF
ENSG00000144867.7	SRPRB
ENSG00000174640.8	SLCO2A1
ENSG00000163785.8	RYK
ENSG00000114019.10	AMOTL2
ENSG00000129055.8	ANAPC13
ENSG00000174564.8	IL20RB
ENSG00000158186.8	MRAS
ENSG00000184432.5	COPB2
ENSG00000114125.9	RNF7
ENSG00000069849.6	ATP1B3
ENSG00000163710.3	PCOLCE2
ENSG00000152952.7	PLOD2
ENSG00000114698.10	PLSCR4
ENSG00000188313.8	PLSCR1
ENSG00000153002.7	CPB1
ENSG00000163754.13	GYG1
ENSG00000169908.6	TM4SF1
ENSG00000018408.10	WWTR1
ENSG00000082996.15	RNF13
ENSG00000070087.9	PFN2
ENSG00000120742.6	SERP1
ENSG00000144895.7	EIF2A
ENSG00000198843.8	SELT
ENSG00000181788.3	SIAH2
ENSG00000152601.13	MBNL1
ENSG00000196549.6	MME
ENSG00000240045.1	RP11-451G4.2
ENSG00000114850.2	SSR3
ENSG00000163660.7	CCNL1
ENSG00000163661.3	PTX3
ENSG00000118849.5	RARRES1
ENSG00000118855.14	MFSD1
ENSG00000008952.12	SEC62
ENSG00000121858.6	TNFSF10
ENSG00000177565.11	TBL1XR1
ENSG00000269728.1	RP11-145M9.4
ENSG00000136522.9	MRPL47
ENSG00000136521.8	NDUFB5
ENSG00000205981.2	DNAJC19
ENSG00000175193.8	PARL
ENSG00000145191.7	EIF2B5
ENSG00000161202.13	DVL3
ENSG00000161203.9	AP2M1
ENSG00000161204.7	ABCF3
ENSG00000214160.5	ALG3
ENSG00000175166.12	PSMD2
ENSG00000114867.15	EIF4G1
ENSG00000163882.5	POLR2H
ENSG00000090539.11	CHRD
ENSG00000177383.3	MAGEF1
ENSG00000136527.13	TRA2B
ENSG00000090520.6	DNAJB11
ENSG00000156976.10	EIF4A2
ENSG00000181092.5	ADIPOQ
ENSG00000157005.3	SST
ENSG00000113916.13	BCL6
ENSG00000145012.8	LPP
ENSG00000163347.5	CLDN1
ENSG00000152492.9	CCDC50
ENSG00000114315.3	HES1
ENSG00000133657.10	ATP13A3
ENSG00000184203.3	PPP1R2
ENSG00000189058.4	APOD
ENSG00000061938.12	TNK2
ENSG00000072274.8	TFRC
ENSG00000180370.6	PAK2
ENSG00000114503.6	NCBP2
ENSG00000270170.1	NCBP2-AS2
ENSG00000182899.10	RPL35A
ENSG00000169020.5	ATP5I
ENSG00000185619.13	PCGF3
ENSG00000168993.10	CPLX1
ENSG00000178950.12	GAK
ENSG00000127419.12	TMEM175
ENSG00000127418.10	FGFRL1
ENSG00000159674.7	SPON2
ENSG00000159692.11	CTBP1
ENSG00000090316.11	MAEA
ENSG00000163950.8	SLBP
ENSG00000168936.6	TMEM129
ENSG00000068078.13	FGFR3
ENSG00000123933.10	MXD4
ENSG00000168884.10	TNIP2
ENSG00000087274.12	ADD1
ENSG00000109736.10	MFSD10
ENSG00000087269.11	NOP14
ENSG00000163956.6	LRPAP1
ENSG00000109501.9	WFS1
ENSG00000179010.10	MRFAP1
ENSG00000163993.6	S100P
ENSG00000178988.10	MRFAP1L1
ENSG00000170801.5	HTRA3
ENSG00000071127.12	WDR1
ENSG00000118564.10	FBXL5
ENSG00000137440.3	FGFBP1
ENSG00000151552.7	QDPR
ENSG00000002549.8	LAP3
ENSG00000109606.8	DHX15
ENSG00000109610.5	SOD3
ENSG00000053900.6	ANAPC4
ENSG00000157765.7	SLC34A2
ENSG00000250317.4	SMIM20
ENSG00000168214.16	RBPJ
ENSG00000065882.11	TBC1D1
ENSG00000109787.8	KLF3
ENSG00000197712.7	FAM114A1
ENSG00000163682.11	RPL9
ENSG00000078140.9	UBE2K
ENSG00000154277.8	UCHL1
ENSG00000109180.10	OCIAD1
ENSG00000163069.8	SGCB
ENSG00000226950.2	DANCR
ENSG00000145216.11	FIP1L1
ENSG00000134853.7	PDGFRA
ENSG00000134851.8	TMEM165
ENSG00000090989.13	EXOC1
ENSG00000128050.4	PAICS
ENSG00000174780.11	SRP72
ENSG00000171476.17	HOPX
ENSG00000047315.10	POLR2B
ENSG00000163453.7	IGFBP7
ENSG00000185873.7	TMPRSS11B
ENSG00000083896.8	YTHDC1
ENSG00000181617.5	FDCSP
ENSG00000171195.6	MUC7
ENSG00000132465.6	IGJ
ENSG00000163631.12	ALB
ENSG00000081041.8	CXCL2
ENSG00000169116.7	PARM1
ENSG00000138757.10	G3BP2
ENSG00000138768.10	USO1
ENSG00000138760.4	SCARB2
ENSG00000138758.7	SEPT11
ENSG00000118816.5	CCNI
ENSG00000138772.8	ANXA3
ENSG00000138668.14	HNRNPD
ENSG00000152795.13	HNRNPDL
ENSG00000145293.10	ENOPH1
ENSG00000145284.7	SCD5
ENSG00000138674.12	SEC31A
ENSG00000172493.16	AFF1
ENSG00000198189.6	HSD17B11
ENSG00000152583.8	SPARCL1
ENSG00000118785.9	SPP1
ENSG00000118762.3	PKD2
ENSG00000187653.10	TMSB4XP8
ENSG00000163110.10	PDLIM5
ENSG00000164024.7	METAP1
ENSG00000197894.6	ADH5
ENSG00000196616.8	ADH1B
ENSG00000164032.7	H2AFZ
ENSG00000138814.12	PPP3CA
ENSG00000109332.15	UBE2D3
ENSG00000164039.10	BDH2
ENSG00000168743.8	NPNT
ENSG00000164022.12	AIMP1
ENSG00000138801.4	PAPSS1
ENSG00000138796.11	HADH
ENSG00000109475.12	RPL34
ENSG00000198856.8	OSTC
ENSG00000174720.11	LARP7
ENSG00000269893.2	SNHG8
ENSG00000172403.6	SYNPO2
ENSG00000172399.5	MYOZ2
ENSG00000145390.7	USP53
ENSG00000164096.10	C4orf3
ENSG00000164111.10	ANXA5
ENSG00000164056.6	SPRY1
ENSG00000164040.12	PGRMC2
ENSG00000109390.7	NDUFC1
ENSG00000109445.6	ZNF330
ENSG00000153147.5	SMARCA5
ENSG00000164163.6	ABCE1
ENSG00000071205.7	ARHGAP10
ENSG00000145425.5	RPS3A
ENSG00000109686.12	SH3D19
ENSG00000145423.4	SFRP2
ENSG00000171566.7	PLRG1
ENSG00000171564.7	FGB
ENSG00000171560.10	FGA
ENSG00000171557.12	FGG
ENSG00000171497.4	PPID
ENSG00000052802.8	MSMO1
ENSG00000109472.9	CPE
ENSG00000129116.13	PALLD
ENSG00000056050.6	C4orf27
ENSG00000164104.7	HMGB2
ENSG00000150625.12	GPM6A
ENSG00000129128.8	SPCS3
ENSG00000129187.10	DCTD
ENSG00000168310.6	IRF2
ENSG00000151726.9	ACSL1
ENSG00000151729.6	SLC25A4
ENSG00000109775.6	UFSP2
ENSG00000154553.9	PDLIM3
ENSG00000154556.13	SORBS2
ENSG00000073578.12	SDHA
ENSG00000249915.3	PDCD6
ENSG00000180104.11	EXOC3
ENSG00000113504.15	SLC12A7
ENSG00000049656.9	CLPTM1L
ENSG00000153395.5	LPCAT1
ENSG00000145494.7	NDUFS6
ENSG00000133398.3	MED10
ENSG00000037474.10	NSUN2
ENSG00000150753.7	CCT5
ENSG00000145495.10	MARCH6
ENSG00000112977.11	DAP
ENSG00000173545.4	ZNF622
ENSG00000176788.7	BASP1
ENSG00000113384.9	GOLPH3
ENSG00000056097.11	ZFR
ENSG00000113387.7	SUB1
ENSG00000113460.8	BRIX1
ENSG00000079215.9	SLC1A3
ENSG00000145623.8	OSMR
ENSG00000153071.10	DAB2
ENSG00000132356.7	PRKAA1
ENSG00000145592.9	RPL37
ENSG00000112936.14	C7
ENSG00000083720.8	OXCT1
ENSG00000250722.1	SEPP1
ENSG00000112972.10	HMGCS1
ENSG00000172239.9	PAIP1
ENSG00000213949.4	ITGA1
ENSG00000164258.7	NDUFS4
ENSG00000067113.12	PPAP2A
ENSG00000134352.15	IL6ST
ENSG00000062194.11	GPBP1
ENSG00000145632.10	PLK2
ENSG00000164182.6	NDUFAF2
ENSG00000113593.7	PPWD1
ENSG00000153914.11	SREK1
ENSG00000145675.10	PIK3R1
ENSG00000085231.9	TAF9
ENSG00000131711.10	MAP1B
ENSG00000113048.12	MRPS27
ENSG00000145741.11	BTF3
ENSG00000049860.9	HEXB
ENSG00000164346.5	NSA2
ENSG00000171530.9	TBCA
ENSG00000164309.10	CMYA5
ENSG00000131730.11	CKMT2
ENSG00000186468.8	RPS23
ENSG00000174695.5	TMEM167A
ENSG00000127184.6	COX7C
ENSG00000113369.4	ARRDC3
ENSG00000198677.6	TTC37
ENSG00000164292.8	RHOBTB3
ENSG00000118985.10	ELL2
ENSG00000153113.19	CAST
ENSG00000174132.8	FAM174A
ENSG00000145730.16	PAM
ENSG00000198961.5	PJA2
ENSG00000224032.2	EPB41L4A-AS1
ENSG00000129625.8	REEP5
ENSG00000134970.13	TMED7
ENSG00000129596.4	CDO1
ENSG00000177879.10	AP3S1
ENSG00000133835.10	HSD17B4
ENSG00000205302.2	SNX2
ENSG00000168938.5	PPIC
ENSG00000169567.7	HINT1
ENSG00000131435.8	PDLIM4
ENSG00000125347.9	IRF1
ENSG00000164402.9	SEPT8
ENSG00000164405.6	UQCRQ
ENSG00000072364.8	AFF4
ENSG00000170606.9	HSPA4
ENSG00000113583.6	C5orf15
ENSG00000213585.6	VDAC1
ENSG00000113558.14	SKP1
ENSG00000113575.5	PPP2CA
ENSG00000119048.3	UBE2B
ENSG00000164615.3	CAMLG
ENSG00000113621.10	TXNDC15
ENSG00000069011.11	PITX1
ENSG00000145824.8	CXCL14
ENSG00000120708.12	TGFBI
ENSG00000152377.8	SPOCK1
ENSG00000177733.4	HNRNPA0
ENSG00000120729.5	MYOT
ENSG00000112983.13	BRD8
ENSG00000120733.9	KDM3B
ENSG00000132563.11	REEP2
ENSG00000120738.7	EGR1
ENSG00000120705.8	ETF1
ENSG00000113013.8	HSPA9
ENSG00000044115.16	CTNNA1
ENSG00000015479.13	MATR3
ENSG00000120727.8	PAIP2
ENSG00000184584.8	TMEM173
ENSG00000131508.11	UBE2D2
ENSG00000171604.7	CXXC5
ENSG00000182700.3	IGIP
ENSG00000120306.5	CYSTM1
ENSG00000113068.5	PFDN1
ENSG00000113070.6	HBEGF
ENSG00000131503.16	ANKHD1
ENSG00000213523.5	SRA1
ENSG00000243056.1	EIF4EBP3
ENSG00000113108.13	APBB3
ENSG00000176087.10	SLC35A4
ENSG00000170458.9	CD14
ENSG00000131495.4	NDUFA2
ENSG00000113141.11	IK
ENSG00000170445.8	HARS
ENSG00000112855.10	HARS2
ENSG00000146007.6	ZMAT2
ENSG00000178913.5	TAF7
ENSG00000131504.11	DIAPH1
ENSG00000171720.5	HDAC3
ENSG00000081791.4	KIAA0141
ENSG00000131507.9	NDFIP1
ENSG00000133706.13	LARS
ENSG00000113649.7	TCERG1
ENSG00000113657.8	DPYSL3
ENSG00000164266.6	SPINK1
ENSG00000133710.11	SPINK5
ENSG00000145879.6	SPINK7
ENSG00000173210.15	ABLIM3
ENSG00000269936.2	MIR145
ENSG00000113712.12	CSNK1A1
ENSG00000113716.8	HMGXB3
ENSG00000113721.9	PDGFRB
ENSG00000070808.11	CAMK2A
ENSG00000019582.10	CD74
ENSG00000164587.7	RPS14
ENSG00000070614.10	NDST1
ENSG00000171992.8	SYNPO
ENSG00000086589.7	RBM22
ENSG00000211445.7	GPX3
ENSG00000145901.10	TNIP1
ENSG00000197043.9	ANXA6
ENSG00000198624.8	CCDC69
ENSG00000196743.4	GM2A
ENSG00000113140.6	SPARC
ENSG00000155506.12	LARP1
ENSG00000170271.6	FAXDC2
ENSG00000155508.9	CNOT8
ENSG00000113282.9	CLINT1
ENSG00000145860.7	RNF145
ENSG00000113312.6	TTC1
ENSG00000113328.14	CCNG1
ENSG00000038274.12	MAT2B
ENSG00000113643.4	RARS
ENSG00000184347.10	SLIT3
ENSG00000181163.9	NPM1
ENSG00000120129.5	DUSP1
ENSG00000113719.11	ERGIC1
ENSG00000113732.4	ATP6V0E1
ENSG00000145919.6	BOD1
ENSG00000145920.10	CPLX2
ENSG00000122203.10	KIAA1191
ENSG00000146066.2	HIGD2A
ENSG00000175416.8	CLTB
ENSG00000146083.7	RNF44
ENSG00000074317.6	SNCB
ENSG00000160883.6	HK3
ENSG00000169228.9	RAB24
ENSG00000169230.5	PRELID1
ENSG00000169223.10	LMAN2
ENSG00000169220.13	RGS14
ENSG00000113758.9	DBN1
ENSG00000196923.9	PDLIM7
ENSG00000183258.7	DDX41
ENSG00000146067.11	FAM193B
ENSG00000184840.7	TMED9
ENSG00000145912.4	NHP2
ENSG00000197451.6	HNRNPAB
ENSG00000176783.10	RUFY1
ENSG00000169045.13	HNRNPH1
ENSG00000127022.10	CANX
ENSG00000161013.12	MGAT4B
ENSG00000161011.15	SQSTM1
ENSG00000197226.8	TBC1D9B
ENSG00000161055.3	SCGB3A1
ENSG00000131446.11	MGAT1
ENSG00000165810.12	BTNL9
ENSG00000146063.14	TRIM41
ENSG00000204628.7	GNB2L1
ENSG00000112679.10	DUSP22
ENSG00000021355.8	SERPINB1
ENSG00000124570.13	SERPINB6
ENSG00000124588.15	NQO2
ENSG00000137267.5	TUBB2A
ENSG00000137285.9	TUBB2B
ENSG00000168994.9	PXDC1
ENSG00000112739.12	PRPF4B
ENSG00000198721.8	ECI2
ENSG00000124785.4	NRN1
ENSG00000124491.11	F13A1
ENSG00000096696.9	DSP
ENSG00000239264.4	TXNDC5
ENSG00000111843.9	TMEM14C
ENSG00000272379.1	RP1-257A7.5
ENSG00000010017.9	RANBP9
ENSG00000007944.10	MYLIP
ENSG00000137198.5	GMPR
ENSG00000112186.7	CAP2
ENSG00000137414.5	FAM8A1
ENSG00000124795.10	DEK
ENSG00000172201.6	ID4
ENSG00000172179.7	PRL
ENSG00000111802.9	TDP2
ENSG00000112308.8	C6orf62
ENSG00000187837.2	HIST1H1C
ENSG00000180573.8	HIST1H2AC
ENSG00000112763.11	BTN2A1
ENSG00000182952.4	HMGN4
ENSG00000197903.6	HIST1H2BK
ENSG00000204713.6	TRIM27
ENSG00000204681.6	GABBR1
ENSG00000204642.9	HLA-F
ENSG00000206341.6	HLA-H
ENSG00000206503.7	HLA-A
ENSG00000066379.10	ZNRD1
ENSG00000204619.3	PPP1R11
ENSG00000234127.4	TRIM26
ENSG00000241370.1	RPP21
ENSG00000204592.5	HLA-E
ENSG00000204574.8	ABCF1
ENSG00000204569.5	PPP1R10
ENSG00000204568.7	MRPS18B
ENSG00000204560.5	DHX16
ENSG00000146112.7	PPP1R18
ENSG00000196230.8	TUBB
ENSG00000137312.10	FLOT1
ENSG00000137331.11	IER3
ENSG00000204580.7	DDR1
ENSG00000137411.12	VARS2
ENSG00000204544.5	MUC21
ENSG00000204525.10	HLA-C
ENSG00000234745.5	HLA-B
ENSG00000204520.8	MICA
ENSG00000198563.9	DDX39B
ENSG00000213760.6	ATP6V1G2
ENSG00000204498.6	NFKBIL1
ENSG00000204472.8	AIF1
ENSG00000204469.8	PRRC2A
ENSG00000204463.8	BAG6
ENSG00000204435.9	CSNK2B
ENSG00000240053.8	LY6G5B
ENSG00000204427.7	ABHD16A
ENSG00000204421.2	LY6G6C
ENSG00000213722.4	DDAH2
ENSG00000213719.4	CLIC1
ENSG00000204394.8	VARS
ENSG00000204392.6	LSM2
ENSG00000204389.8	HSPA1A
ENSG00000204388.5	HSPA1B
ENSG00000204387.8	C6orf48
ENSG00000204386.6	NEU1
ENSG00000204371.7	EHMT2
ENSG00000243649.4	CFB
ENSG00000204356.7	NELFE
ENSG00000204351.7	SKIV2L
ENSG00000204348.5	DXO
ENSG00000231852.2	CYP21A2
ENSG00000213676.6	ATF6B
ENSG00000221988.8	PPT2
ENSG00000241404.2	EGFL8
ENSG00000204310.6	AGPAT1
ENSG00000204308.6	RNF5
ENSG00000204305.9	AGER
ENSG00000204304.7	PBX2
ENSG00000213654.5	GPSM3
ENSG00000204287.9	HLA-DRA
ENSG00000198502.5	HLA-DRB5
ENSG00000229391.3	HLA-DRB6
ENSG00000196126.6	HLA-DRB1
ENSG00000179344.12	HLA-DQB1
ENSG00000204264.4	PSMB8
ENSG00000168394.9	TAP1
ENSG00000240065.3	PSMB9
ENSG00000242574.4	HLA-DMB
ENSG00000204257.10	HLA-DMA
ENSG00000204256.8	BRD2
ENSG00000231389.3	HLA-DPA1
ENSG00000223865.6	HLA-DPB1
ENSG00000204231.6	RXRB
ENSG00000112473.12	SLC39A7
ENSG00000204227.4	RING1
ENSG00000223501.4	VPS52
ENSG00000231500.2	RPS18
ENSG00000227057.3	WDR46
ENSG00000237441.5	RGL2
ENSG00000231925.7	TAPBP
ENSG00000204209.6	DAXX
ENSG00000112511.13	PHF1
ENSG00000112514.11	CUTA
ENSG00000096433.6	ITPR3
ENSG00000137288.5	UQCC2
ENSG00000161904.7	LEMD2
ENSG00000137309.15	HMGA1
ENSG00000186577.7	C6orf1
ENSG00000272325.1	NUDT3
ENSG00000124614.9	RPS10
ENSG00000196821.5	C6orf106
ENSG00000124562.5	SNRPC
ENSG00000064995.12	TAF11
ENSG00000064999.12	ANKS1A
ENSG00000112033.9	PPARD
ENSG00000198755.6	RPL10A
ENSG00000007866.14	TEAD3
ENSG00000096060.10	FKBP5
ENSG00000137392.5	CLPS
ENSG00000112062.6	MAPK14
ENSG00000112078.9	KCTD20
ENSG00000112079.8	STK38
ENSG00000112081.12	SRSF3
ENSG00000124762.9	CDKN1A
ENSG00000198663.12	C6orf89
ENSG00000164530.9	PI16
ENSG00000137409.14	MTCH1
ENSG00000137193.9	PIM1
ENSG00000137200.8	CMTR1
ENSG00000156639.7	ZFAND3
ENSG00000124767.6	GLO1
ENSG00000146122.12	DAAM2
ENSG00000096088.12	PGC
ENSG00000112576.8	CCND3
ENSG00000048544.5	MRPS10
ENSG00000146223.10	RPL7L1
ENSG00000137161.12	CNPY3
ENSG00000124587.9	PEX6
ENSG00000112640.10	PPP2R5D
ENSG00000124733.3	MEA1
ENSG00000124702.13	KLHDC3
ENSG00000124541.6	RRP36
ENSG00000112651.7	MRPL2
ENSG00000112658.6	SRF
ENSG00000112667.8	DNPH1
ENSG00000137207.7	YIPF3
ENSG00000172432.14	GTPBP2
ENSG00000096080.7	MRPS18A
ENSG00000112715.16	VEGFA
ENSG00000180992.5	MRPL14
ENSG00000137216.14	TMEM63B
ENSG00000112759.12	SLC29A1
ENSG00000096384.15	HSP90AB1
ENSG00000157593.12	SLC35B2
ENSG00000172348.10	RCAN2
ENSG00000153291.11	SLC25A27
ENSG00000069122.14	GPR116
ENSG00000096006.7	CRISP3
ENSG00000112118.13	MCM3
ENSG00000096092.5	TMEM14A
ENSG00000243955.1	GSTA1
ENSG00000170899.6	GSTA4
ENSG00000202198.1	RN7SK
ENSG00000112146.12	FBXO9
ENSG00000012660.9	ELOVL5
ENSG00000151914.13	DST
ENSG00000112245.6	PTP4A1
ENSG00000168216.6	LMBRD1
ENSG00000156508.13	EEF1A1
ENSG00000111799.16	COL12A1
ENSG00000112695.7	COX7A2
ENSG00000112697.11	TMEM30A
ENSG00000118418.10	HMGN3
ENSG00000135316.13	SYNCRIP
ENSG00000203875.6	SNHG5
ENSG00000135346.4	CGA
ENSG00000164414.12	SLC35A1
ENSG00000135334.8	AKIRIN2
ENSG00000146278.10	PNRC1
ENSG00000198833.6	UBE2J1
ENSG00000112214.6	FHL5
ENSG00000132424.10	PNISR
ENSG00000025796.9	SEC63
ENSG00000112335.10	SNX3
ENSG00000118689.10	FOXO3
ENSG00000080546.9	SESN1
ENSG00000135535.10	CD164
ENSG00000135596.13	MICAL1
ENSG00000123505.10	AMD1
ENSG00000155115.6	GTF3C6
ENSG00000010810.13	FYN
ENSG00000112769.14	LAMA4
ENSG00000155130.5	MARCKS
ENSG00000187189.9	TSPYL4
ENSG00000189241.6	TSPYL1
